ts,run_time,edges_found,paths_total,execs_done,execs_per_sec
1779576018,2061,270,590,23018339,12548.94
1779576023,2066,270,590,23081618,12773.58
1779576028,2071,270,590,23143104,12283.34
1779576033,2076,270,590,23198710,10612.84
1779576038,2081,270,591,23241852,10495.22
1779576043,2086,270,591,23289171,8458.22
1779576048,2091,270,591,23329918,10068.89
1779576053,2096,270,591,23399675,12848.71
1779576058,2101,270,591,23460107,12033.73
1779576063,2106,270,591,23521125,12834.84
1779576068,2111,270,591,23590381,13382.68
1779576074,2117,270,591,23657454,13058.56
1779576079,2122,270,591,23718693,12139.77
1779576084,2127,270,591,23781876,12143.10
1779576089,2132,270,591,23845829,12370.98
1779576094,2137,270,591,23910267,12756.42
1779576099,2142,270,591,23980143,13468.49
1779576104,2147,270,591,24045462,12823.53
1779576109,2152,270,591,24112623,12977.56
1779576114,2157,270,592,24179450,12763.29
1779576119,2162,270,592,24242224,12498.44
1779576124,2167,270,592,24304700,12096.91
1779576129,2172,270,592,24364131,11762.75
1779576135,2178,270,592,24429019,12867.25
1779576140,2183,270,592,24497463,13429.49
1779576145,2188,270,593,24560798,12790.18
1779576150,2193,270,594,24623041,12318.18
1779576155,2198,270,597,24694597,13755.92
1779576160,2203,270,597,24757472,12716.76
1779576165,2208,270,597,24816266,12052.28
1779576170,2213,270,597,24887161,13859.78
1779576175,2218,270,598,24955854,13584.80
1779576181,2224,270,599,25018611,12417.54
1779576186,2229,270,599,25080016,13038.88
1779576191,2234,270,599,25145070,12530.48
1779576196,2239,270,599,25213176,13137.96
1779576201,2244,270,599,25257432,8229.38
1779576206,2249,270,599,25303952,12132.28
1779576211,2254,270,600,25373574,13481.41
1779576216,2259,270,601,25430928,11472.01
1779576221,2264,270,601,25492608,11863.93
1779576226,2269,270,601,25549823,11651.82
1779576231,2274,270,601,25613772,12263.49
1779576237,2280,270,601,25676447,12288.57
1779576242,2285,270,602,25731010,13308.40
1779576247,2290,270,602,25800376,13456.43
1779576252,2295,270,602,25864570,13073.42
1779576257,2300,270,602,25953488,16811.66
1779576262,2305,270,602,26037866,16685.96
1779576267,2310,270,602,26122814,16465.28
1779576272,2315,270,602,26205798,16361.85
1779576277,2320,270,602,26294643,17149.95
1779576282,2325,270,602,26380211,16947.51
1779576287,2330,270,602,26466792,16998.86
1779576292,2335,270,602,26552891,17100.91
1779576298,2341,270,602,26641672,17327.41
