ts,run_time,edges_found,paths_total,execs_done,execs_per_sec
1779565367,5810,269,617,64279296,12569.23
1779565373,5816,269,617,64343197,12526.77
1779565378,5821,269,617,64403018,11862.22
1779565383,5826,269,617,64461587,11400.97
1779565388,5831,269,617,64522319,11807.12
1779565393,5836,269,617,64580270,11719.13
1779565398,5841,269,617,64641027,11862.87
1779565403,5846,269,617,64702291,12125.96
1779565408,5851,269,617,64757406,11134.99
1779565413,5856,269,617,64815327,11124.05
1779565419,5862,269,617,64875743,12019.59
1779565424,5867,269,617,64930086,10409.75
1779565429,5872,269,617,64985799,10849.85
1779565434,5877,269,617,65044973,11593.76
1779565439,5882,269,617,65108679,12147.29
1779565444,5887,269,617,65167888,11483.82
1779565449,5892,269,617,65223476,11003.50
1779565454,5897,269,617,65277256,10735.40
1779565459,5902,269,617,65334432,11616.02
1779565464,5907,269,617,65394550,11692.15
1779565470,5913,269,617,65454578,11712.10
1779565475,5918,269,617,65515622,12060.62
1779565480,5923,269,617,65574108,11929.43
1779565485,5928,269,617,65637384,11976.36
1779565490,5933,269,617,65697669,12322.37
1779565495,5938,269,617,65758263,12051.77
1779565500,5943,269,617,65821724,12293.15
1779565505,5948,269,617,65870515,10306.92
1779565510,5953,269,617,65920882,10267.97
1779565515,5958,269,617,65979798,11515.92
1779565520,5963,269,617,66038274,11439.65
1779565525,5968,269,617,66100889,11887.36
1779565531,5974,269,617,66157740,11068.83
1779565536,5979,269,617,66216117,11616.90
1779565541,5984,269,617,66277766,12242.96
1779565546,5989,269,617,66335386,11682.18
1779565551,5994,269,617,66389570,10961.56
1779565556,5999,269,617,66448669,11385.01
1779565561,6004,269,617,66507104,11446.02
1779565566,6009,269,617,66565137,11530.81
1779565571,6014,269,617,66623754,11308.15
1779565577,6020,269,617,66685870,12056.03
1779565582,6025,269,617,66745495,11890.18
1779565587,6030,269,617,66804176,11666.17
1779565592,6035,269,617,66859648,11243.27
1779565597,6040,269,617,66919135,11765.23
1779565602,6045,269,617,66980292,11813.98
1779565607,6050,269,617,67046015,12826.70
1779565612,6055,269,617,67107771,11885.69
1779565617,6060,269,617,67163057,10707.59
1779565622,6065,269,617,67218979,10908.66
1779565628,6071,269,617,67276881,11259.50
1779565633,6076,269,617,67331208,10422.44
1779565638,6081,269,617,67391792,11101.82
